time,lon,lat,tmp,dtr,pre,vap,wet,cld,frs,pet
2012-10-16,159.75,68.25,-6.5,8.3,17.5,3.7,14.889999,80.700005,30.34,0.1
2017-12-16,82.25,67.75,-16.300001,6.7000003,57.2,1.6,24.46,85.0,31.0,0.0
2012-09-16,69.25,60.75,10.2,8.900001,128.7,10.2,15.7,74.4,3.78,1.3000001
2014-01-16,-135.25,58.75,0.8,6.0,164.6,4.6,19.77,70.0,23.21,0.6
2015-10-16,84.75,21.25,27.6,10.400001,39.7,24.800001,3.05,48.3,0.0,3.8
2018-02-15,47.25,-20.25,20.4,9.0,223.8,17.5,28.0,75.4,0.0,3.3
2014-01-16,3.75,20.75,19.1,15.0,0.90000004,6.0,0.12,34.600002,0.0,4.1
2012-12-16,135.25,-15.75,31.300001,12.6,103.3,22.1,8.179999,60.4,0.0,5.7000003
2014-12-16,79.25,17.75,22.5,12.8,3.6000001,16.1,0.14999999,19.300001,0.0,3.4
2015-05-16,86.25,56.25,13.0,13.1,63.5,7.9,16.21,61.9,2.75,3.6000001
2020-02-15,115.25,1.25,25.800001,10.5,242.8,26.7,17.63,62.7,0.0,3.7
2017-12-16,138.25,-17.75,31.4,12.7,92.1,18.4,7.18,43.100002,0.0,6.9
2020-07-16,158.75,53.75,9.8,5.6,56.4,10.3,13.559999,87.200005,2.04,1.9
2019-11-16,-55.25,-5.25,26.9,10.2,161.90001,30.1,10.929999,90.1,0.0,2.8
2017-11-16,-67.75,-54.75,5.8,7.6,31.5,7.0,15.28,70.1,12.19,2.1000001
2018-12-16,-75.25,69.75,-25.0,7.0,7.4,0.6,4.12,47.4,31.0,0.1
2012-01-16,141.25,64.25,-41.9,6.9,5.2000003,0.3,7.72,59.0,31.0,0.0
2012-08-16,127.75,-30.75,12.8,17.4,14.8,6.6,4.25,38.100002,7.3799996,4.2000003
2014-11-16,133.75,71.25,-30.7,6.7000003,6.3,0.3,11.01,64.4,30.0,0.0
2013-11-16,-21.75,80.75,-27.1,7.4,25.1,0.5,8.57,46.3,30.0,0.1
2018-10-16,-70.25,-12.75,26.0,11.7,344.5,22.300001,8.44,61.100002,0.0,4.5
2012-08-16,92.25,46.75,9.900001,12.8,70.9,6.2000003,13.679999,36.5,8.79,3.4
2013-04-16,-9.25,6.25,26.6,10.1,88.700005,28.5,8.54,67.5,0.0,3.5
2012-09-16,-98.25,55.75,8.900001,12.900001,45.2,8.5,10.59,57.7,10.929999,1.9
2011-08-16,-65.25,67.75,5.1,4.5,9.1,7.5,4.9,76.6,10.2699995,1.2
2019-01-16,6.75,16.25,21.1,15.3,0.0,5.0,0.0,14.0,0.0,5.4
2013-09-16,-115.75,32.25,25.7,16.1,2.2,20.9,0.35999998,33.8,0.0,5.3
2019-06-16,-94.75,76.25,-0.90000004,4.4,12.0,4.1,7.5499997,71.3,23.48,1.7
2014-02-15,88.75,55.25,-20.0,11.2,23.800001,1.2,10.82,56.3,28.0,0.1
2013-10-16,-44.75,-13.75,26.5,11.900001,69.4,19.4,12.54,67.9,0.0,4.6
2012-06-16,92.75,72.25,7.6,8.0,24.6,8.5,11.25,80.0,8.2699995,2.1000001
2011-07-16,-56.75,50.25,14.1,9.400001,127.9,13.0,15.589999,68.6,0.08,2.9
2014-06-16,175.25,66.75,3.9,7.2000003,28.2,6.3,9.559999,84.700005,16.58,1.8000001
2012-06-16,69.25,72.25,4.3,5.4,49.100002,8.1,20.21,82.8,13.21,1.1
2020-12-16,47.75,56.75,-10.0,5.1,22.9,2.7,16.07,85.700005,30.88,0.1
2020-05-16,51.75,51.75,17.2,17.5,32.8,9.3,9.7,39.0,0.52,5.2000003
2016-06-16,38.25,11.75,17.9,12.6,162.3,12.7,13.91,57.5,0.0,3.6000001
2012-10-16,-118.25,48.25,7.1,12.6,50.4,6.8,11.96,66.0,15.79,1.5
