filters,kernel_size,lstm_units,dense_units,dynamic_attention_units,epochs,batch_size,aic,bic,rmse_tmp,mae_tmp,r2_tmp,adj_r2_tmp,nse_tmp,score_tmp,training_time
60,70,170,150,200,10,60,1455335.0079734293,3494646.237408077,6.655783331132115,4.9540162067268945,0.8335522745047741,0.8135169001396081,0.8335522745047741,7.063643021845401,14.079268
60,70,170,150,200,20,60,1455324.1033236233,3494635.3327582707,4.26173323681525,2.813913776406461,0.9317579544019463,0.9235436340984768,0.9317579544019463,3.4749628932567695,22.935915
60,70,170,150,200,30,60,1455324.783594773,3494636.0130294203,3.7938496871670404,2.48109108819158,0.9459196176218216,0.9394099419651891,0.9459196176218216,2.920744753294114,23.157972
