hour,time,lat,lon,height,pre,PRS_Avg,VAP_Avg,tmp
12,2020/5/15,51.346,1.337,49,7,1015.8,10.1,13.4
12,2020/5/15,50.218,-5.327,87,29,1011.1,10.8,12.6
12,2020/5/15,50.779,-1.835,10,0,1020.5,9.8,13.2
12,2020/5/15,54.663,-6.224,63,24,1013.4,9.9,11.9
12,2020/6/16,60.139,-1.183,82,31,1003.1,12.0,11.4
12,2020/6/16,58.954,-2.9,26,34,1008.8,12.2,12.1
12,2020/6/16,58.214,-6.318,15,77,1009.8,12.6,12.4
12,2020/6/16,57.646,-3.5620000000000003,5,60,1010.8,12.5,13.9
12,2020/6/16,57.205,-2.204,65,56,1003.8,12.2,13.0
12,2020/6/16,56.5,-6.88,9,67,1009.8,12.6,13.0
12,2020/6/16,55.312,-3.205,236,210,983.6,12.6,13.0
12,2020/6/16,56.377,-2.8609999999999998,10,65,1010.3,12.6,13.6
12,2020/6/16,54.297,-1.5310000000000001,33,70,1007.9,12.7,14.6
12,2020/6/16,53.252,-4.535,10,77,1010.5,13.2,14.7
12,2020/6/16,53.175,-0.523,68,62,1003.8,12.6,15.3
12,2020/6/16,52.794,-2.6630000000000003,72,108,1003.3,13.0,15.5
12,2020/6/16,52.139,-4.57,133,112,996.4,13.1,14.1
12,2020/6/16,52.123,0.9590000000000001,89,61,1001.7,12.9,15.7
12,2020/6/16,51.503,-1.992,145,66,995.2,12.6,15.6
12,2020/6/16,51.479,-0.449,25,54,1009.6,12.7,17.5
12,2020/6/16,51.346,1.337,49,34,1006.9,13.0,16.3
12,2020/6/16,50.218,-5.327,87,117,1002.7,13.7,14.4
12,2020/6/16,50.779,-1.835,10,60,1011.5,13.3,15.8
12,2020/6/16,54.663,-6.224,63,91,1003.9,12.7,14.5
12,2020/7/15,60.139,-1.183,82,107,999.1,11.9,11.5
12,2020/7/15,58.954,-2.9,26,89,1006.7,11.7,12.3
12,2020/7/15,58.214,-6.318,15,72,1008.8,12.1,12.7
12,2020/7/15,57.646,-3.5620000000000003,5,31,1010.2,11.9,14.3
12,2020/7/15,57.205,-2.204,65,95,1003.2,11.5,13.5
12,2020/7/15,56.5,-6.88,9,130,1010.8,12.6,12.8
12,2020/7/15,55.312,-3.205,236,187,985.2,12.4,12.8
12,2020/7/15,56.377,-2.8609999999999998,10,74,1010.4,12.2,14.6
12,2020/7/15,54.297,-1.5310000000000001,33,57,1009.9,12.8,15.3
12,2020/7/15,53.252,-4.535,10,99,1014.2,14.0,14.9
12,2020/7/15,53.175,-0.523,68,59,1006.7,13.1,16.3
12,2020/7/15,52.794,-2.6630000000000003,72,36,1007.0,13.4,15.5
12,2020/7/15,52.139,-4.57,133,89,1000.8,14.2,14.8
12,2020/7/15,52.123,0.9590000000000001,89,50,1005.1,13.8,16.8
12,2020/7/15,51.503,-1.992,145,57,999.7,13.5,16.3
12,2020/7/15,51.479,-0.449,25,35,1013.7,13.3,18.6
12,2020/7/15,51.346,1.337,49,33,1010.7,13.6,17.7
12,2020/7/15,50.218,-5.327,87,32,1008.4,14.8,15.4
12,2020/7/15,50.779,-1.835,10,30,1016.3,13.9,16.7
12,2020/7/15,54.663,-6.224,63,101,1006.4,13.2,14.3
12,2020/8/18,60.139,-1.183,82,75,1002.0,13.2,12.6
12,2020/8/18,58.954,-2.9,26,54,1008.5,12.8,13.5
12,2020/8/18,58.214,-6.318,15,36,1009.3,13.4,13.7
12,2020/8/18,57.646,-3.5620000000000003,5,25,1010.8,13.2,15.0
